NAME                        CPU(cores)   MEMORY(bytes)   
backend-6ddfb9c4d-79rf2     2m           55Mi            
backend-6ddfb9c4d-chzvt     2m           55Mi            
backend-6ddfb9c4d-kqsx4     2m           55Mi            
backend-6ddfb9c4d-qstws     2m           55Mi            
backend-6ddfb9c4d-smpdj     2m           55Mi            
backend-6ddfb9c4d-tnpl2     2m           55Mi            
backend-6ddfb9c4d-z5p2h     2m           55Mi            
backend-6ddfb9c4d-zf89p     2m           54Mi            
frontend-8cf9b685d-4zhjr    1m           4Mi             
frontend-8cf9b685d-cfzsp    1m           4Mi             
postgres-7f4d649474-9bqk8   3m           47Mi            
redis-85df57c7c8-2v7gq      4m           3Mi             
