time_utc,seconds,backend_total_mcpu,backend_pods,max_pod_mcpu
2026-05-21T17:07:10Z,0.0,5,2,3
2026-05-21T17:07:25Z,15.0,17,2,15
2026-05-21T17:07:40Z,30.0,463,2,244
2026-05-21T17:07:56Z,46.0,926,2,468
2026-05-21T17:08:11Z,61.0,1119,4,468
2026-05-21T17:08:26Z,76.0,1557,8,374
2026-05-21T17:08:42Z,92.0,1740,8,339
2026-05-21T17:08:57Z,107.0,1854,8,412
2026-05-21T17:09:12Z,122.0,1929,8,316
2026-05-21T17:09:28Z,138.0,1545,8,264
2026-05-21T17:09:43Z,153.0,1910,8,336
2026-05-21T17:09:58Z,168.0,1908,8,317
2026-05-21T17:10:13Z,183.0,1924,8,291
2026-05-21T17:10:29Z,199.0,1655,8,269
2026-05-21T17:10:44Z,214.0,1868,8,359
2026-05-21T17:10:59Z,229.0,1972,8,351
2026-05-21T17:11:15Z,245.0,1786,8,277
2026-05-21T17:11:30Z,260.0,1784,8,315
2026-05-21T17:11:45Z,275.0,906,8,248
2026-05-21T17:12:01Z,291.0,16,8,2
2026-05-21T17:12:16Z,306.0,16,8,2
2026-05-21T17:12:31Z,321.0,16,8,2
2026-05-21T17:12:46Z,336.0,16,8,2
