time_utc,seconds,cpu_percent,replicas
2026-05-21T17:07:10Z,0.0,2,2
2026-05-21T17:07:25Z,15.0,2,2
2026-05-21T17:07:40Z,30.0,8,2
2026-05-21T17:07:55Z,45.0,231,2
2026-05-21T17:08:11Z,61.0,463,4
2026-05-21T17:08:26Z,76.0,462,8
2026-05-21T17:08:41Z,91.0,290,8
2026-05-21T17:08:57Z,107.0,217,8
2026-05-21T17:09:12Z,122.0,231,8
2026-05-21T17:09:27Z,137.0,241,8
2026-05-21T17:09:43Z,153.0,193,8
2026-05-21T17:09:58Z,168.0,238,8
2026-05-21T17:10:13Z,183.0,238,8
2026-05-21T17:10:29Z,199.0,240,8
2026-05-21T17:10:44Z,214.0,206,8
2026-05-21T17:10:59Z,229.0,233,8
2026-05-21T17:11:14Z,244.0,246,8
2026-05-21T17:11:30Z,260.0,223,8
2026-05-21T17:11:45Z,275.0,223,8
2026-05-21T17:12:00Z,290.0,113,8
2026-05-21T17:12:16Z,306.0,2,8
2026-05-21T17:12:31Z,321.0,2,8
2026-05-21T17:12:46Z,336.0,2,8
2026-05-21T17:13:02Z,352.0,2,8
